strategy,return,max_drawdown,sharpe,win_rate,trades
VWAPTrend,18.53,-8.07,0.46,,0
GoldenCross,13.49,-8.01,0.46,86.67,15
VolumeSpike,0.0,0.0,,,0
Breakout,0.0,0.0,,,0
ChannelBreakout,0.0,0.0,,,0
DonchianChannel,0.0,0.0,,,0
TurtleTrading,0.0,0.0,,,0
DeathCross,-2.49,-6.39,-0.22,36.67,16
EMACross,-49.88,-69.52,-0.08,57.62,51
DualEMA,-59.05,-76.38,-0.08,51.03,65
RSIMomentum,-61.43,-79.8,-0.11,60.53,61
BollingerBounce,-71.54,-81.33,-0.06,47.89,95
MACDCrossover,-72.94,-83.16,-0.09,43.38,139
TripleEMA,-75.54,-86.69,-0.03,47.27,130
RSIReversal,-77.1,-88.17,-0.04,46.01,127
SupportBounce,-86.5,-89.39,0.02,28.33,246
MeanReversion,-86.65,-89.48,0.01,29.63,217
TrendPullback,-86.82,-89.52,-0.03,29.7,232
StochasticCross,-88.55,-91.62,-0.08,22.07,213
SupportResistance,-89.22,-92.29,-0.08,24.24,189
DMA50,-89.83,-90.17,0.04,19.82,439
EMAPullback,-90.01,-90.22,-0.0,17.86,414
GapFill,-90.03,-90.06,-0.03,19.16,258
ADXTrend,-91.52,-92.28,-0.05,18.01,226
ROCMomentum,-91.71,-92.41,-0.05,15.09,318
ATRTrailingStop,-95.88,-97.34,-0.07,5.49,284
